,dates,cases,deaths
0,2021-01-13,22838110,380670
1,2021-01-12,22793666,379799
2,2021-01-11,22575895,375838
3,2021-01-10,22374351,374002
4,2021-01-09,22095975,371989
5,2021-01-08,21818572,368296
6,2021-01-07,21531729,364550
7,2021-01-06,21252296,360443
8,2021-01-05,21007694,356540
9,2021-01-04,20782635,353069
10,2021-01-03,20611450,351426
11,2021-01-02,20379264,349901
12,2021-01-01,20102567,347517
13,2020-12-31,19940419,345182
14,2020-12-30,19698147,341505
15,2020-12-29,19521613,337829
16,2020-12-28,19262131,334618
17,2020-12-27,19105859,333055
18,2020-12-26,18939451,331732
19,2020-12-25,18755129,330252
20,2020-12-24,18625451,328760
21,2020-12-23,18407728,325520
22,2020-12-22,18190773,322208
23,2020-12-21,18006061,319190
24,2020-12-20,17819583,317588
25,2020-12-19,17609107,315630
26,2020-12-18,17410003,312983
27,2020-12-17,17176796,310291
28,2020-12-16,16914853,307064
29,2020-12-15,16677333,303046
30,2020-12-14,16425955,300456
31,2020-12-13,16225124,299057
32,2020-12-12,16035537,297674
33,2020-12-11,15792384,294320
34,2020-12-10,15577813,292034
35,2020-12-09,15359348,288716
36,2020-12-08,15137712,285880
37,2020-12-07,14923247,283568
38,2020-12-06,14747102,282231
39,2020-12-05,14557003,281059
40,2020-12-04,14336748,278563
41,2020-12-03,14102568,275729
42,2020-12-02,13900350,273170
43,2020-12-01,13696060,270369
44,2020-11-30,13522247,267844
45,2020-11-29,13363182,266813
46,2020-11-28,13227195,265973
47,2020-11-27,13072584,264764
48,2020-11-26,12877783,263394
49,2020-11-25,12754109,261971
50,2020-11-24,12555729,259477
51,2020-11-23,12395660,257549
52,2020-11-22,12219209,256723
53,2020-11-21,12051253,255588
54,2020-11-20,11893096,254271
55,2020-11-19,11689545,252290
56,2020-11-18,11492593,250140
57,2020-11-17,11330842,248424
58,2020-11-16,11188766,247101
59,2020-11-15,11022584,246101
60,2020-11-14,10877379,245519
61,2020-11-13,10713452,244207
62,2020-11-12,10523260,242577
63,2020-11-11,10384543,240857
64,2020-11-10,10230770,239521
65,2020-11-09,10029556,238024
66,2020-11-08,9954952,237561
67,2020-11-07,9841444,236989
68,2020-11-06,9715652,235988
69,2020-11-05,9593622,234817
70,2020-11-04,9472548,233596
71,2020-11-03,9371389,232447
72,2020-11-02,9277955,231448
73,2020-11-01,9195068,230884
74,2020-10-31,9111013,230320
75,2020-10-30,9034295,229544
76,2020-10-29,8940170,228625
77,2020-10-28,8848875,227604
78,2020-10-27,8773407,226604
79,2020-10-26,8697710,225676
80,2020-10-25,8631921,225212
81,2020-10-24,8568625,224751
82,2020-10-23,8479652,223845
83,2020-10-22,8399689,222965
84,2020-10-21,8327531,221930
85,2020-10-20,8123438,220921
86,2020-10-19,8208093,220086
87,2020-10-18,8147587,219666
88,2020-10-17,8100662,219156
89,2020-10-16,8040922,218455
90,2020-10-15,7974502,217745
91,2020-10-14,7904168,216597
92,2020-10-13,7852008,215803
93,2020-10-12,7802281,214045
94,2020-10-11,7760593,214765
95,2020-10-10,7709628,214305
96,2020-10-09,7658559,213570
97,2020-10-08,7598280,212632
98,2020-10-07,7544612,211694
99,2020-10-06,7495165,210774
100,2020-10-05,7453582,210117
101,2020-10-04,7418596,209807
102,2020-10-03,7378171,209328
103,2020-10-02,7328273,208642
104,2020-10-01,7273943,207743
105,2020-09-30,7227779,206859
106,2020-09-29,7186527,205895
107,2020-09-28,7147070,205024
108,2020-09-27,7109351,204743
109,2020-09-26,7076828,204480
110,2020-09-25,7027910,203571
111,2020-09-24,6974441,202728
112,2020-09-23,6940721,201882
113,2020-09-22,6890014,200654
114,2020-09-21,6832970,199816
115,2020-09-20,6794724,199474
116,2020-09-19,6764198,199255
117,2020-09-18,6720477,198469
118,2020-09-17,6670496,197589
119,2020-09-16,6626242,196661
120,2020-09-15,6602981,195693
121,2020-09-14,6551575,194443
122,2020-09-13,6516861,194033
123,2020-09-12,6479157,193539
124,2020-09-11,6440541,192886
125,2020-09-10,6395603,191727
126,2020-09-09,6358247,190727
127,2020-09-08,6325042,189557
128,2020-09-07,6299637,189168
129,2020-09-06,6274388,188909
130,2020-09-05,6242039,188501
131,2020-09-04,6198996,187696
132,2020-09-03,6146524,186698
133,2020-09-02,6111485,185669
134,2020-09-01,6071971,184589
135,2020-08-31,6027111,183499
136,2020-08-30,5993668,183034
137,2020-08-29,5958902,182718
138,2020-08-28,5912016,181704
139,2020-08-27,5860397,180527
140,2020-08-26,5817538,179596
141,2020-08-25,5773766,178347
142,2020-08-24,5737398,177215
143,2020-08-23,5699804,176765
144,2020-08-22,5664848,176321
145,2020-08-21,5618133,175245
146,2020-08-20,5571102,174178
147,2020-08-19,5524398,172965
148,2020-08-18,5480487,171679
149,2020-08-17,5435908,170453
150,2020-08-16,5401167,170019
151,2020-08-15,5356244,169423
152,2020-08-14,5304682,168318
153,2020-08-13,5244238,167029
154,2020-08-12,5191689,165909
155,2020-08-11,5138850,164480
156,2020-08-10,5085821,163370
157,2020-08-09,5041473,162913
158,2020-08-08,4994276,162381
159,2020-08-07,4928802,161052
160,2020-08-06,4876790,159990
161,2020-08-05,4818328,157930
162,2020-08-04,4765170,156668
163,2020-08-03,4711323,155366
164,2020-08-02,4665002,154834
165,2020-08-01,4617494,154319
166,2020-07-31,4556232,153268
167,2020-07-30,4487072,151826
168,2020-07-29,4414834,150447
169,2020-07-28,4346748,149180
170,2020-07-27,4286663,147588
171,2020-07-26,4229624,146909
172,2020-07-25,4174437,146391
173,2020-07-24,4106225,145324
174,2020-07-23,4032430,144167
175,2020-07-22,3955860,142942
176,2020-07-21,3891893,141883
177,2020-07-20,3823369,140922
178,2020-07-19,3762081,140474
179,2020-07-18,3698209,139960
180,2020-07-17,3638002,139128
181,2020-07-16,3560364,138201
182,2020-07-15,3491936,137277
183,2020-07-14,3424304,136432
184,2020-07-13,3361042,135582
185,2020-07-12,3301820,135171
186,2020-07-11,3242073,134729
187,2020-07-10,3175545,133969
188,2020-07-09,3111902,133195
189,2020-07-08,3046351,132195
190,2020-07-07,2991351,131362
191,2020-07-06,2931142,130248
192,2020-07-05,2876143,129891
193,2020-07-04,2836764,129657
194,2020-07-03,2793022,129405
195,2020-07-02,2735339,128677
196,2020-07-01,2682270,128028
197,2020-06-30,2629372,127322
198,2020-06-29,2586844,126123
199,2020-06-28,2544418,125768
200,2020-06-27,2505593,125480
201,2020-06-26,2462472,124978
202,2020-06-25,2452567,125796
203,2020-06-24,2378648,121932
204,2020-06-23,2342739,121176
205,2020-06-22,2310334,120384
206,2020-06-21,2278373,119959
207,2020-06-20,2251205,119654
208,2020-06-19,2219119,119086
209,2020-06-18,2187876,118381
210,2020-06-17,2161593,117694
211,2020-06-16,2134973,116854
212,2020-06-15,2111622,116114
213,2020-06-14,2093335,115729
214,2020-06-13,2071782,115347
215,2020-06-12,2044572,114613
216,2020-06-11,2021990,113774
217,2020-06-10,1999313,112833
218,2020-06-09,1973803,111751
219,2020-06-08,1956527,110934
220,2020-06-07,1938842,110482
221,2020-06-06,1919430,109791
222,2020-06-05,1894753,109042
223,2020-06-04,1872261,108120
224,2020-06-03,1849852,107099
225,2020-06-02,1831435,106180
226,2020-06-01,1809109,105099
227,2020-05-31,1788762,104356
228,2020-05-30,1769776,103758
229,2020-05-29,1745606,102798
230,2020-05-28,1720613,101573
231,2020-05-27,1698581,100276
232,2020-05-26,1680301,98875
233,2020-05-25,1657441,98034
234,2020-05-24,1641585,97686
235,2020-05-23,1613476,96662
236,2020-05-22,1600481,95921
237,2020-05-21,1576542,94661
238,2020-05-20,1550959,93406
239,2020-05-19,1527355,91845
240,2020-05-18,1506840,90309
241,2020-05-17,1486376,89550
242,2020-05-16,1466682,88730
243,2020-05-15,1442924,87493
244,2020-05-14,1416528,85813
245,2020-05-13,1389935,84059
246,2020-05-12,1367927,82246
247,2020-05-11,1346723,80352
248,2020-05-10,1329072,79522
249,2020-05-09,1309164,78746
250,2020-05-08,1283829,77178
251,2020-05-07,1254750,75543
252,2020-05-06,1227430,73095
253,2020-05-05,1203502,71022
254,2020-05-04,1178906,68689
255,2020-05-03,1157687,67674
256,2020-05-02,1130115,66224
257,2020-05-01,1102703,64789
258,2020-04-30,1068696,62906
259,2020-04-29,1037970,60853
260,2020-04-28,1011877,58351
261,2020-04-27,987022,56144
262,2020-04-26,964937,54841
263,2020-04-25,936293,53511
264,2020-04-24,890524,51017
265,2020-04-23,866646,49759
266,2020-04-22,839675,46583
267,2020-04-21,823786,44845
268,2020-04-20,784326,42094
269,2020-04-19,759086,40661
270,2020-04-18,732197,38664
271,2020-04-17,699706,36773
272,2020-04-16,667801,32917
273,2020-04-15,636350,28326
274,2020-04-14,607670,25832
275,2020-04-13,580619,23529
276,2020-04-12,529951,20608
277,2020-04-11,527111,20506
278,2020-04-10,496535,18586
279,2020-04-09,461437,16478
280,2020-04-08,429052,14695
281,2020-04-07,396223,12722
282,2020-04-06,366614,10783
283,2020-04-05,337072,9619
284,2020-04-04,308850,8407
285,2020-04-03,276995,7406
286,2020-04-02,243453,5926
287,2020-04-01,213372,4757
288,2020-03-31,188172,3873
289,2020-03-30,161807,2978
290,2020-03-29,140886,2467
291,2020-03-28,121478,2026
292,2020-03-27,101657,1581
293,2020-03-26,83836,1209
294,2020-03-25,65778,942
295,2020-03-24,53740,706
296,2020-03-23,43667,552
297,2020-03-22,33746,427
298,2020-03-21,25493,307
299,2020-03-20,19101,244
300,2020-03-19,13680,200
301,2020-03-18,7786,118
302,2020-03-17,6421,108
303,2020-03-16,4632,85
304,2020-03-15,3499,63
305,2020-03-14,2726,54
306,2020-03-12,1663,40
307,2020-03-11,1281,36
308,2020-03-11,2179,47
309,2020-03-10,959,28
310,2020-03-09,605,22
311,2020-03-08,537,21
312,2020-03-07,417,17
313,2020-03-06,278,14
314,2020-03-05,221,12
315,2020-03-04,153,11
316,2020-03-03,122,7
317,2020-03-02,101,6
318,2020-03-01,76,1
319,2020-02-29,70,1
320,2020-02-28,62,0
321,2020-02-27,60,0
322,2020-02-26,59,0
323,2020-02-25,53,0
324,2020-02-24,53,0
325,2020-02-22,35,0
326,2020-02-21,35,0
327,2020-02-13,15,0
328,2020-02-11,13,0
329,2020-02-09,12,0
330,2020-02-05,12,0
331,2020-02-03,11,0
332,2020-02-01,8,0
333,2020-02-01,8,0
334,2020-01-31,6,0
335,2020-01-30,5,0
336,2020-01-29,5,0
337,2020-01-28,5,0
338,2020-01-27,5,0
339,2020-01-26,5,0
340,2020-01-25,2,0
341,2020-01-24,2,0
342,2020-01-23,1,0
343,2020-01-22,1,0
